Fuel_Type,Kilometers_Driven,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,price,Registration_Year,Transmission_Type,Mileage(kmpl),Engine_CC,No_of_Seats,city,Car_Age
1.0,2.0424836601307188e-05,2,28.0,249.0,2017,751000,2017,1.0,21.13,1498,5,0.0,7
1.0,1.4285714285714285e-05,2,9.0,77.0,2014,388000,2014,1.0,24.0,1120,5,0.0,10
4.0,1.4705882352941177e-05,2,9.0,90.0,2013,490000,2013,1.0,18.5,1197,5,0.0,11
1.0,4.344614849893557e-05,1,17.0,133.0,2016,494000,2016,1.0,25.32,1198,6,0.0,8
1.0,1.2048192771084337e-05,2,9.0,90.0,2013,525000,2014,1.0,21.27,1396,5,0.0,11
1.0,1.0869565217391305e-05,2,1.0,21.0,2016,2890000,2016,0.0,16.55,1995,5,0.0,8
4.0,1.6092952895926872e-05,1,20.0,184.0,2018,550000,2018,1.0,20.51,998,5,0.0,6
3.0,1.3513513513513513e-05,1,9.0,89.0,2013,365000,2013,1.0,19.2,1086,5,0.0,11
4.0,3.7735849056603776e-05,2,27.0,238.0,2016,420000,2016,0.0,24.04,999,5,0.0,8
1.0,1.2237505506877478e-05,1,32.0,308.0,2017,1895000,2017,0.0,27.03,1969,5,0.0,7
1.0,4.1666666666666665e-05,2,21.0,200.0,2018,5990000,2018,0.0,17.0,2987,5,0.0,6
4.0,0.0001,1,17.0,146.0,2022,1050000,2022,0.0,17.0,1197,5,0.0,2
4.0,5.555555555555556e-05,1,16.0,123.0,2021,2075000,2021,0.0,16.56,1451,6,0.0,3
4.0,2.6180066497368904e-05,1,8.0,61.0,2013,394000,2013,1.0,19.4,1198,5,0.0,11
4.0,4.347826086956522e-05,2,20.0,157.0,2017,725000,2017,0.0,19.56,1197,5,0.0,7
4.0,2e-05,1,20.0,156.0,2013,240000,2013,1.0,20.92,998,5,0.0,11
4.0,0.0001,1,27.0,239.0,2022,835000,2022,0.0,19.03,999,5,0.0,2
4.0,5.2631578947368424e-05,1,9.0,77.0,2019,695000,2019,1.0,18.9,1197,5,0.0,5
4.0,7.142857142857143e-05,1,13.0,107.0,2020,1725000,2020,0.0,16.5,1353,5,0.0,4
4.0,3.416700833675003e-05,1,9.0,74.0,2014,330000,2014,1.0,21.1,814,5,0.0,10
4.0,5e-05,1,31.0,305.0,2019,990000,2019,0.0,18.19,1197,5,0.0,5
4.0,3.3333333333333335e-05,1,30.0,295.0,2018,750000,2018,1.0,17.1,1496,5,0.0,6
4.0,1.5534221890825488e-05,1,8.0,66.0,2018,755000,2018,0.0,19.0,1199,5,0.0,6
1.0,3.3333333333333335e-05,1,16.0,122.0,2021,1750000,2021,1.0,17.41,1956,5,0.0,3
4.0,0.00014084507042253522,1,9.0,71.0,2022,2082999,2022,0.0,14.2,1999,6,0.0,2
4.0,2.2894297030609674e-05,1,9.0,89.0,2010,271000,2010,1.0,19.81,1086,5,0.0,14
4.0,2.5e-05,1,9.0,73.0,2018,1280000,2018,0.0,14.8,1591,5,0.0,6
1.0,2.4653616685567774e-05,1,9.0,90.0,2012,436000,2012,1.0,22.54,1396,5,0.0,12
4.0,3.7735849056603776e-05,2,9.0,73.0,2021,1675000,2021,0.0,19.31,1397,5,0.0,3
4.0,5e-05,1,9.0,85.0,2019,1250000,2019,0.0,18.15,998,5,0.0,5
1.0,1.7064846416382253e-05,1,17.0,147.0,2016,1350000,2016,0.0,16.0,2179,7,0.0,8
4.0,2.3781212841854935e-05,1,31.0,301.0,2020,2225000,2020,0.0,18.4,1498,5,0.0,4
4.0,1.538059276804528e-05,1,20.0,160.0,2015,475000,2016,0.0,23.1,998,5,0.0,9
1.0,1.25e-05,2,1.0,14.0,2008,600000,2008,0.0,13.2,1995,5,0.0,16
4.0,3.3333333333333335e-05,1,12.0,101.0,2021,2450000,2021,0.0,14.1,1368,5,0.0,3
4.0,5e-05,1,13.0,107.0,2020,1625000,2020,0.0,16.5,1353,5,0.0,4
1.0,2.7511073206965803e-05,1,28.0,251.0,2014,1650000,2014,0.0,17.2,1968,5,0.0,10
4.0,1.25e-05,3,9.0,89.0,2009,249000,2009,1.0,20.36,1197,5,0.0,15
4.0,1.1991270355181428e-05,2,27.0,236.0,2014,630000,2014,1.0,13.24,1598,5,0.0,10
1.0,3.3333333333333335e-05,2,0.0,9.0,2016,2599000,2016,0.0,14.16,1968,5,0.0,8
4.0,1.9155620258983984e-05,1,20.0,156.0,2017,385000,2017,1.0,24.39,998,5,0.0,7
4.0,9.090909090909091e-06,3,9.0,90.0,2012,300000,2012,1.0,17.0,1197,5,0.0,12
1.0,1.1235955056179776e-05,1,6.0,51.0,2017,2975000,2017,0.0,10.91,3198,7,0.0,7
4.0,3.3542414382987286e-05,2,20.0,155.0,2014,276000,2014,1.0,22.05,796,5,0.0,10
4.0,3.3333333333333335e-05,1,6.0,54.0,2018,500000,2018,1.0,18.16,1196,5,0.0,6
4.0,7.493443237167478e-05,1,20.0,172.0,2020,730000,2020,0.0,20.89,1197,5,0.0,4
1.0,5.847953216374269e-05,1,9.0,71.0,2022,2245000,2022,0.0,18.1,1498,7,0.0,2
4.0,1.3333333333333333e-05,1,9.0,77.0,2014,399000,2014,1.0,18.9,1197,5,0.0,10
4.0,1.3240999430637025e-05,2,9.0,89.0,2011,312000,2011,1.0,20.36,1197,5,0.0,13
1.0,2.1276595744680852e-05,1,17.0,147.0,2015,1275000,2015,1.0,16.0,2179,7,0.0,9
1.0,2.7397260273972603e-05,1,29.0,256.0,2022,1989999,2022,1.0,16.35,1956,5,0.0,2
4.0,3.539447138356989e-05,1,27.0,243.0,2020,719000,2020,1.0,20.0,999,7,0.0,4
1.0,2e-05,1,9.0,73.0,2016,1260000,2016,1.0,19.67,1582,5,0.0,8
4.0,1.1111111111111112e-05,2,9.0,89.0,2010,300000,2010,1.0,20.36,1197,5,0.0,14
1.0,1.4285714285714285e-05,2,1.0,23.0,2016,3981000,2016,0.0,15.97,2993,5,0.0,8
4.0,1.902189420022446e-05,1,9.0,90.0,2016,627000,2016,1.0,18.6,1197,5,0.0,8
1.0,1.4285714285714285e-05,2,1.0,14.0,2010,1300000,2010,0.0,16.07,1995,5,0.0,14
4.0,1.613085348345781e-05,1,8.0,63.0,2015,672000,2015,1.0,17.4,1497,5,0.0,9
1.0,1.7543859649122806e-05,1,9.0,84.0,2017,1825000,2017,0.0,16.38,1995,5,0.0,7
1.0,1.25e-05,2,30.0,285.0,2021,3500000,2021,1.0,14.24,2755,7,0.0,3
4.0,2.7503506697103882e-05,1,9.0,90.0,2013,440000,2013,1.0,18.5,1197,5,0.0,11
1.0,1.4285714285714285e-05,2,29.0,256.0,2019,1460000,2019,1.0,17.0,1956,5,0.0,5
4.0,0.00013333333333333334,1,16.0,122.0,2022,2041000,2022,0.0,19.31,1451,5,0.0,2
4.0,3.300221114814693e-05,1,9.0,86.0,2017,1033000,2017,0.0,17.0,1591,5,0.0,7
4.0,1.5151515151515151e-05,1,9.0,89.0,2010,275000,2010,1.0,20.36,1197,5,0.0,14
4.0,1.7853954650955187e-05,1,9.0,90.0,2017,676000,2017,1.0,18.6,1197,5,0.0,7
1.0,2.1276595744680852e-05,1,21.0,206.0,2017,4290000,2017,0.0,17.9,2143,5,0.0,7
1.0,1.6666666666666667e-05,2,24.0,229.0,2014,650000,2014,1.0,19.01,1461,5,0.0,10
1.0,1.1929046034188646e-05,1,20.0,179.0,2014,444000,2014,1.0,25.2,1248,5,0.0,10
4.0,0.0001,1,27.0,238.0,2020,509999,2020,0.0,22.0,999,5,0.0,4
1.0,2.857142857142857e-05,2,27.0,236.0,2016,925000,2016,0.0,19.6,1461,5,0.0,8
4.0,1.956334611471946e-05,2,8.0,63.0,2019,1024000,2020,0.0,18.0,1497,5,0.0,5
1.0,1.25e-05,3,28.0,249.0,2016,500000,2016,1.0,21.14,1498,5,0.0,8
4.0,2.5e-05,2,31.0,300.0,2017,994999,2017,0.0,17.21,1197,5,0.0,7
4.0,1.1687021562554783e-05,2,8.0,62.0,2012,935000,2012,0.0,11.1,2354,5,0.0,12
4.0,2.708852530068263e-05,1,6.0,50.0,2018,834000,2018,1.0,17.0,1497,5,0.0,6
1.0,1.1111111111111112e-05,1,31.0,300.0,2015,560000,2015,1.0,20.14,1498,5,0.0,9
4.0,8.865641207500332e-06,1,20.0,179.0,2012,454000,2012,1.0,22.38,1197,5,0.0,12
4.0,9.09090909090909e-05,1,21.0,190.0,2021,3690000,2021,0.0,19.31,1332,5,0.0,3
4.0,8.333333333333334e-06,2,30.0,289.0,2014,1100000,2014,1.0,11.4,1998,7,0.0,10
4.0,2.725909772386534e-05,2,8.0,61.0,2016,462000,2016,1.0,19.4,1198,5,0.0,8
1.0,8.333333333333334e-06,2,9.0,80.0,2012,900000,2012,0.0,11.72,2199,7,0.0,12
4.0,3.107133979617201e-05,2,20.0,157.0,2019,843000,2019,0.0,21.4,1197,5,0.0,5
4.0,3.0979894048762353e-05,1,20.0,158.0,2018,799000,2019,1.0,21.1,998,5,0.0,6
4.0,1.675097993232604e-05,1,9.0,90.0,2015,576000,2015,1.0,18.6,1197,5,0.0,9
1.0,2.1705628269410258e-05,1,27.0,235.0,2018,949000,2018,1.0,20.37,1461,5,0.0,6
1.0,1.1111111111111112e-05,1,20.0,183.0,2017,795000,2017,1.0,24.3,1248,5,0.0,7
4.0,0.00010466820180029308,1,9.0,85.0,2019,1085000,2019,1.0,18.27,998,5,0.0,5
4.0,7.142857142857143e-05,1,12.0,101.0,2022,2590000,2022,0.0,14.1,1368,5,0.0,2
1.0,1.342299896642908e-05,2,27.0,236.0,2013,516000,2013,1.0,20.45,1461,5,0.0,11
4.0,1.7790112255608333e-05,2,6.0,50.0,2017,777000,2017,0.0,14.8,1497,5,0.0,7
4.0,0.00011109876680368848,1,8.0,66.0,2019,753000,2019,1.0,18.2,1199,5,0.0,5
1.0,1.527720488259468e-05,2,17.0,147.0,2017,1226000,2017,0.0,16.0,1997,7,0.0,7
4.0,4.2226163330799764e-05,1,8.0,66.0,2017,725000,2017,1.0,18.7,1199,5,0.0,7
1.0,2e-05,1,9.0,86.0,2020,1150000,2020,1.0,22.0,1582,5,0.0,4
1.0,7.431794704103094e-06,2,20.0,179.0,2015,629000,2015,1.0,25.2,1248,5,0.0,9
4.0,1.0355504468400179e-05,2,20.0,180.0,2013,447000,2013,1.0,22.41,1197,5,0.0,11
1.0,1.2047176744130013e-05,2,20.0,165.0,2014,786000,2015,1.0,20.77,1248,7,0.0,10
4.0,2.9411764705882354e-05,1,8.0,66.0,2018,745000,2018,1.0,18.7,1199,5,0.0,6
4.0,1.2249797878335007e-05,1,9.0,77.0,2014,490000,2014,0.0,18.9,1197,5,0.0,10
4.0,1.745688150268836e-05,2,8.0,63.0,2017,942000,2017,0.0,18.0,1497,5,0.0,7
4.0,1.4285714285714285e-05,2,6.0,50.0,2016,675000,2016,0.0,15.63,1499,5,0.0,8
4.0,1.4285714285714285e-05,2,8.0,61.0,2013,330000,2013,1.0,19.4,1198,5,0.0,11
4.0,2.1538262723728704e-05,2,30.0,295.0,2018,875000,2018,0.0,17.8,1496,5,0.0,6
4.0,5.6740807989105766e-05,1,20.0,157.0,2017,869000,2018,1.0,21.4,1197,5,0.0,7
1.0,1e-05,2,31.0,305.0,2012,425000,2012,1.0,20.54,1598,5,0.0,12
4.0,3.3333333333333335e-05,1,8.0,63.0,2019,1070000,2019,1.0,17.4,1497,5,0.0,5
4.0,2.0124773596297043e-05,2,6.0,50.0,2018,1025000,2018,1.0,15.9,1496,5,0.0,6
1.0,9.090909090909091e-06,1,17.0,147.0,2016,1000000,2016,1.0,16.0,2179,7,0.0,8
4.0,2e-05,1,5.0,43.0,2009,375000,2009,1.0,16.0,1368,5,0.0,15
4.0,1.7952676744102546e-05,1,6.0,50.0,2018,844000,2018,0.0,14.8,1497,5,0.0,6
1.0,2.2199529369977357e-05,1,9.0,91.0,2016,764000,2016,1.0,21.19,1396,5,0.0,8
4.0,1.8867924528301888e-05,2,20.0,175.0,2014,420000,2014,1.0,18.5,1197,5,0.0,10
1.0,1.0560219652568773e-05,1,20.0,157.0,2016,684000,2016,1.0,27.39,1248,5,0.0,8
4.0,4.5122281382546704e-05,1,20.0,157.0,2019,802999,2019,1.0,21.4,1197,5,0.0,5
4.0,1.4285714285714285e-05,2,9.0,82.0,2010,320000,2010,1.0,17.92,1086,5,0.0,14
1.0,8.670695649911993e-06,1,8.0,63.0,2017,803999,2018,1.0,26.0,1498,5,0.0,7
1.0,1.4285714285714285e-05,2,21.0,200.0,2013,1400000,2013,0.0,10.0,2148,5,0.0,11
4.0,2.3678166362796866e-05,2,20.0,179.0,2016,548000,2016,1.0,22.38,1197,5,0.0,8
