Fuel_Type,Kilometers_Driven,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,price,Registration_Year,Transmission_Type,Mileage(kmpl),Engine_CC,No_of_Seats,city,Car_Age
Petrol,60000,2,Maruti,Maruti Ertiga,2019,1050000,2019,Manual,19.34,1462,7,bangalore,5
Diesel,12000,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,4425000,2019,Automatic,12.6,1950,5,bangalore,5
Petrol,40987,2,Maruti,Maruti Wagon R,2015,405999,2015,Manual,20.51,998,5,bangalore,9
Petrol,18157,1,BMW,BMW 5 Series,2020,4965000,2020,Automatic,15.56,1998,5,bangalore,4
Diesel,120000,3,Toyota,Toyota Fortuner,2011,1100000,2011,Manual,11.5,2982,7,bangalore,13
Diesel,40000,2,Renault,Renault Duster,2020,1100000,2020,Automatic,19.87,1461,5,bangalore,4
Petrol,89667,1,Hyundai,Hyundai i20,2016,594000,2016,Manual,18.6,1197,5,bangalore,8
Diesel,120000,1,Hyundai,Hyundai i20,2017,710000,2017,Manual,22.54,1396,5,bangalore,7
Petrol,56997,1,Maruti,Maruti Baleno,2017,692000,2017,Manual,21.4,1197,5,bangalore,7
Petrol,120000,1,Hyundai,Hyundai Elantra,2013,650000,2013,Manual,16.3,1797,5,bangalore,11
Diesel,59000,1,Audi,Audi A6,2015,2089999,2016,Automatic,18.53,1968,5,bangalore,9
Petrol,18835,1,Maruti,Maruti Alto 800,2021,411000,2021,Manual,22.05,796,5,bangalore,3
Diesel,120000,2,Mahindra,Mahindra Scorpio,2010,650000,2010,Manual,12.05,2179,7,bangalore,14
Petrol,40000,1,Mini,Mini 3 DOOR,2016,3675000,2016,Automatic,17.33,1998,4,bangalore,8
Petrol,60932,1,Tata,Tata Tiago,2019,610000,2019,Manual,23.84,1199,5,bangalore,5
Petrol,33539,2,Kia,Kia Seltos,2020,1675000,2020,Automatic,16.5,1353,5,bangalore,4
Petrol,66837,2,Tata,Tata Tiago,2018,530000,2018,Manual,23.84,1199,5,bangalore,6
Diesel,400,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,7990000,2022,Automatic,19.31,2925,5,bangalore,2
Petrol,60000,2,Maruti,Maruti Alto,2008,250000,2008,Manual,19.7,796,5,bangalore,16
Petrol,44285,1,Hyundai,Hyundai i20,2019,715000,2019,Manual,18.6,1197,5,bangalore,5
Diesel,100000,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,3500000,2014,Automatic,11.3,2987,7,bangalore,10
Diesel,25000,1,Tata,Tata New Safari,2021,2250000,2021,Automatic,14.08,1956,6,bangalore,3
Petrol,36735,1,Hyundai,Hyundai Grand i10,2018,625000,2019,Manual,18.9,1197,5,bangalore,6
Diesel,79000,1,Audi,Audi Q7,2015,2695000,2015,Automatic,12.07,2967,7,bangalore,9
Diesel,120000,2,Mahindra,Mahindra Scorpio,2010,650000,2010,Manual,12.05,2179,8,bangalore,14
Petrol,10000,1,Renault,Renault KWID,2022,550000,2022,Automatic,22.0,999,5,bangalore,2
Diesel,53645,1,Tata,Tata Nexon,2018,825000,2018,Manual,21.5,1497,5,bangalore,6
Petrol,100000,2,Hyundai,Hyundai Getz,2006,220000,2006,Manual,15.3,1341,5,bangalore,18
Petrol,53982,1,Maruti,Maruti Celerio,2014,428000,2014,Automatic,26.68,998,5,bangalore,10
Diesel,110000,1,Skoda,Skoda Rapid,2014,695000,2014,Manual,21.14,1498,5,bangalore,10
Petrol,37741,2,Ford,Ford Ecosport,2019,930000,2019,Manual,15.9,1496,5,bangalore,5
Petrol,17367,1,Maruti,Maruti Alto 800,2021,455000,2021,Manual,22.05,796,5,bangalore,3
Diesel,94000,1,Hyundai,Hyundai Creta,2017,1195000,2017,Manual,19.67,1582,5,bangalore,7
Diesel,33700,1,Tata,Tata Harrier,2021,2175000,2021,Automatic,14.6,1956,5,bangalore,3
Petrol,54601,3,Maruti,Maruti Swift,2014,442000,2014,Manual,22.38,1197,5,bangalore,10
Diesel,110000,1,Maruti,Maruti Swift,2018,690000,2018,Manual,28.4,1248,5,bangalore,6
Petrol,64000,2,Maruti,Maruti Celerio,2017,500000,2017,Manual,23.1,998,5,bangalore,7
Diesel,40525,1,BMW,BMW 3 Series GT,2016,3395000,2016,Automatic,21.76,1995,5,bangalore,8
Diesel,100000,1,Maruti,Maruti Ciaz,2015,650000,2015,Manual,26.21,1248,5,bangalore,9
