ft,bt,km,ownerNo,oem,modelYear,Insurance Validity,Transmission,Mileage,Engine,Torque,Color,No of Cylinder,Values per Cylinder,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,city,Max Power
Petrol,Hatchback,14000,1,Hyundai,2014,Comprehensive,Automatic,18.9,1197.0,114.0,Red,4.0,4.0,3765.0,1660.0,1520.0,2425.0,935.0,4 Speed,5,Power,Tubeless,5,delhi,82.0
Petrol,Hatchback,78782,1,Honda,2016,Zero Dep,Manual,18.7,1199.0,110.0,Brown,4.0,4.0,3955.0,1694.0,1544.0,2530.0,1044.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,88.0
Petrol,Sedan,60000,1,Hyundai,2011,Third Party,Manual,17.01,1591.0,154.0,Others,4.0,4.0,4375.0,1700.0,1475.0,2570.0,1260.0,5 Speed,5,Power,Tubeless Radial,4,delhi,121.0
Petrol,SUV,20000,1,Volkswagen,2022,Third Party,Manual,20.08,999.0,178.0,Black,3.0,4.0,4221.0,1760.0,1612.0,2651.0,1255.0,6 Speed,5,Electric,Tubeless Radial,5,jaipur,113.0
Petrol,Hatchback,93806,2,Maruti,2016,Third Party,Manual,21.4,1197.0,115.0,Red,4.0,4.0,3995.0,1745.0,1510.0,2520.0,870.0,5 Speed,5,Power,Tubeless Radial,5,chennai,83.0
Petrol,Hatchback,27000,1,Maruti,2021,Comprehensive,Automatic,21.7,998.0,90.0,White,3.0,4.0,3565.0,1520.0,1564.0,2380.0,726.0,Automatic,5,Power,Tubeless Radial,5,bangalore,67.0
Diesel,SUV,120000,3,Mitsubishi,2007,Third Party,Manual,10.5,2835.0,275.0,Black,4.0,2.0,4755.0,1775.0,1900.0,2725.0,2155.0,5 Speed,6,Power,Tubeless Radial,5,jaipur,107.0
Diesel,SUV,60000,1,Tata,2021,Third Party,Manual,16.14,1956.0,350.0,Others,4.0,4.0,4661.0,1894.0,1786.0,2741.0,1825.0,6 Speed,6,Power,Tubeless Radial,5,hyderabad,167.0
Petrol,Hatchback,68000,2,Hyundai,2010,Comprehensive,Automatic,19.2,1197.0,11.0,Silver,4.0,4.0,3.0,1.0,1.0,2.0,1120.0,4 Speed,5,Power,Tubeless Radial,5,bangalore,80.0
Petrol,Hatchback,38514,1,Maruti,2016,Comprehensive,Manual,21.4,1197.0,115.0,Blue,4.0,4.0,3995.0,1745.0,1510.0,2520.0,890.0,5 Speed,5,Power,Tubeless Radial,5,chennai,83.0
Petrol,Hatchback,63000,2,Hyundai,2013,Comprehensive,Manual,18.5,1197.0,113.0,White,4.0,4.0,3995.0,1710.0,1505.0,2525.0,1040.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,82.0
Diesel,Sedan,73626,1,Maruti,2014,Third Party,Manual,23.4,1248.0,190.0,Black,4.0,4.0,3995.0,1695.0,1555.0,2430.0,1060.0,5 Speed,5,Power,Tubeless Radial,4,hyderabad,74.0
Petrol,Sedan,65000,1,Toyota,2017,Third Party,Automatic,14.28,1798.0,173.0,White,4.0,4.0,4620.0,1776.0,1475.0,2700.0,1270.0,7 Speed,5,Power,Tubeless Radial,4,kolkata,138.0
Diesel,SUV,20000,1,Tata,2022,Third Party,Manual,16.35,1956.0,350.0,White,4.0,4.0,4598.0,1894.0,1706.0,2741.0,1660.0,6 Speed,5,Power,Tubeless Radial,5,chennai,167.0
Petrol,Hatchback,20000,3,Hyundai,2010,Third Party,Manual,20.36,1197.0,111.0,Red,4.0,4.0,3585.0,1595.0,1550.0,2380.0,930.0,5 Speed,5,Power,Tubeless Radial,4,bangalore,78.0
Petrol,MUV,8368,1,Renault,2022,Third Party,Manual,20.0,999.0,96.0,White,3.0,4.0,3991.0,1739.0,1643.0,2518.403850840848,947.0,5 Speed,7,Electric,Tubeless Radial,5,hyderabad,71.0
Petrol,SUV,27401,1,Jeep,2018,Third Party,Automatic,16.0,1368.0,250.0,Red,4.0,4.0,4395.0,1818.0,1640.0,2636.0,1562.0,7 Speed,5,Power,Tubeless Radial,5,delhi,160.0
Petrol,SUV,30000,1,Tata,2022,Third Party,Manual,17.57,1199.0,170.0,Others,3.0,4.0,3993.0,1811.0,1606.0,2498.0,1375.0,6 Speed,5,Power,Tubeless Radial,5,bangalore,118.0
Petrol,Sedan,108338,2,Honda,2012,Comprehensive,Manual,16.8,1497.0,146.0,Yellow,4.0,4.0,4440.0,1695.0,1485.0,2550.0,1095.0,5 Speed,5,Power,Tubeless Radial,4,chennai,116.0
Diesel,Hatchback,120000,2,Volkswagen,2011,Third Party,Manual,22.07,1199.0,180.0,Others,3.0,4.0,3970.0,1682.0,1453.0,2456.0,1125.0,5 Speed,5,Power,Tubeless Radial,5,chennai,73.0
Petrol,Hatchback,28651,1,Maruti,2016,Third Party,Manual,22.05,796.0,69.0,Others,3.0,4.0,3445.0,1515.0,1475.0,2360.0,755.0,5 Speed,5,Power,Tubeless,5,kolkata,47.0
Diesel,Sedan,67000,2,Volkswagen,2015,Third Party,Manual,22.27,1498.0,250.0,Golden,4.0,4.0,4390.0,1699.0,1467.0,2553.0,1216.0,5 Speed,5,Power,Tubeless Radial,4,hyderabad,108.0
Petrol,Hatchback,24233,1,Hyundai,2017,Third Party,Manual,18.9,1197.0,113.0,Orange,4.0,4.0,3765.0,1660.0,1520.0,2425.0,1160.0,5 Speed,5,Power,Tubeless,5,bangalore,81.0
Petrol,Hatchback,53819,1,Maruti,2017,Comprehensive,Automatic,21.4,1197.0,115.0,White,4.0,4.0,3995.0,1745.0,1510.0,2520.0,920.0,CVT,5,Power,Tubeless Radial,5,chennai,83.0
Petrol,SUV,60000,1,Ford,2015,Third Party,Manual,18.88,999.0,170.0,Silver,3.0,4.0,3999.0,1765.0,1708.0,2520.0,1290.0,5 Speed,5,Power,Tubeless Radial,5,hyderabad,123.0
Diesel,SUV,62500,1,Nissan,2016,Comprehensive,Automatic,19.61,1461.0,248.0,Grey,4.0,4.0,4331.0,2000.0,1671.0,2673.0,1380.0,6 Speed,5,Power,Tubeless,5,delhi,108.0
Diesel,Sedan,5500000,1,Mercedes-Benz,2018,Comprehensive,Automatic,19.27,2143.0,400.0,Blue,4.0,4.0,4686.0,2020.0,1442.0,2840.0,1655.0,9 Speed,5,Power,Tubeless Radial,4,chennai,167.0
Petrol,Sedan,55000,1,BMW,2019,Comprehensive,Automatic,15.01,1998.0,350.0,Blue,4.0,4.0,4936.0,2126.0,1466.0,2975.0,1695.0,8-Speed Steptronic,5,Power,Tubeless Runflat,4,delhi,248.0
Diesel,Hatchback,50040,1,Maruti,2017,Comprehensive,Manual,25.2,1248.0,190.0,White,4.0,4.0,3840.0,1735.0,1530.0,2450.0,965.0,5 Speed,5,Power,Tubeless,5,jaipur,74.0
Diesel,SUV,34970,1,Maruti,2018,Third Party,Manual,24.3,1248.0,200.0,Red,4.0,4.0,3995.0,1790.0,1640.0,2500.0,1180.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,88.0
Diesel,Hatchback,110000,2,Volkswagen,2014,Third Party,Manual,22.07,1199.0,180.0,Silver,3.0,4.0,3970.0,1682.0,1453.0,2456.0,1115.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,73.0
Petrol,Hatchback,95916,2,Hyundai,2011,Comprehensive,Manual,20.36,1197.0,111.0,Red,4.0,4.0,3585.0,1595.0,1550.0,2380.0,930.0,5 Speed,5,Power,Tubeless Radial,4,hyderabad,78.0
Diesel,Hatchback,122000,2,Maruti,2019,Third Party,Manual,28.4,1248.0,190.0,Red,4.0,4.0,3840.0,1735.0,1530.0,2450.0,960.0,5,5,Power,Tubeless,5,hyderabad,74.0
Petrol,Sedan,18255,1,Honda,2015,Third Party,Manual,17.4,1497.0,145.0,Golden Brown,4.0,4.0,4440.0,1695.0,1495.0,2600.0,1084.0,5 Speed,5,Power,Tubeless Radial,4,kolkata,117.0
Diesel,SUV,41000,1,Mahindra,2019,Comprehensive,Manual,15.96,2523.0,195.0,White,4.0,2.0,4107.0,1745.0,1880.0,2680.0,1430.0,5 Speed,7,Power,Tubeless Radial,5,kolkata,62.0
Diesel,Sedan,120000,3,Tata,2017,Third Party,Manual,22.95,1248.0,190.0,Others,4.0,4.0,3995.0,1706.0,1570.0,2470.0,1152.0,5 Speed,5,Power,Tubeless Radial,4,jaipur,74.0
Petrol,Hatchback,33055,2,Maruti,2020,Third Party,Automatic,21.21,1197.0,113.0,Pearl Arctic White,4.0,4.0,3840.0,1735.0,1530.0,2450.0,855.0,5,5,Electric,Tubeless,5,jaipur,81.0
Petrol,Hatchback,81849,1,Maruti,2017,Comprehensive,Manual,23.1,998.0,90.0,White,3.0,4.0,3695.0,1600.0,1560.0,2425.0,830.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,67.0
Diesel,Sedan,90000,1,BMW,2012,Third Party,Automatic,18.88,1995.0,380.0,Others,4.0,4.0,4624.0,2031.0,1429.0,2810.0,1500.0,8 Speed,5,Power,Tubeless Radial,4,hyderabad,184.0
Petrol,Hatchback,100000,1,Maruti,2010,Third Party,Manual,19.0,998.0,90.0,Others,3.0,4.0,3500.0,1600.0,1490.0,2360.0,860.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,66.0
Diesel,Hatchback,100000,2,Volkswagen,2010,Third Party,Manual,22.07,1199.0,180.0,Others,3.0,4.0,3970.0,1682.0,1453.0,2456.0,1115.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,73.0
Diesel,Sedan,100000,2,BMW,2012,Third Party,Automatic,18.88,1995.0,380.0,Others,4.0,4.0,4624.0,2031.0,1429.0,2810.0,1500.0,8 Speed,5,Power,Tubeless Radial,4,chennai,184.0
Petrol,Hatchback,22173,1,Maruti,2016,Third Party,Automatic,21.4,1197.0,115.0,Silver,4.0,4.0,3995.0,1745.0,1510.0,2520.0,910.0,CVT,5,Power,Tubeless Radial,5,bangalore,83.0
Petrol,Hatchback,5440,1,Maruti,2021,Third Party,Manual,22.38,1197.0,113.0,Silver,4.0,4.0,3845.0,1735.0,1530.0,2450.0,875.0,5 Speed,5,Electric,Tubeless Radial,5,bangalore,88.0
Petrol,Hatchback,49500,1,Hyundai,2010,Third Party,Manual,19.81,1086.0,99.0,Grey,4.0,3.0,3585.0,1595.0,1550.0,2380.0,860.0,5 Speed,5,Power,Tubeless,5,hyderabad,68.0
Petrol,Hatchback,24422,1,Hyundai,2019,Zero Dep,Manual,20.3,1086.0,99.0,Silver,4.0,3.0,3610.0,1645.0,1560.0,2400.0,970.0,5 Speed,5,Power,Tubeless Radial,5,chennai,68.0
Petrol,Hatchback,8096,1,Tata,2021,Zero Dep,Manual,20.09,1199.0,113.0,Blue,3.0,4.0,3765.0,1677.0,1535.0,2400.0,1100.0,5 Speed,5,Electric,Tubeless Radial,5,bangalore,84.0
Petrol,Hatchback,59126,1,Maruti,2018,Comprehensive,Manual,21.4,1197.0,115.0,Blue,4.0,4.0,3995.0,1745.0,1510.0,2520.0,880.0,5 Speed,5,Power,Tubeless Radial,5,hyderabad,83.0
Petrol,Hatchback,52996,2,Honda,2013,Third Party,Manual,19.4,1198.0,109.0,White,4.0,4.0,3610.0,1680.0,1500.0,2345.0,925.0,5 Speed,5,Power,Tubeless Radial,5,hyderabad,86.0
Diesel,SUV,47627,1,Renault,2019,Comprehensive,Manual,20.37,1461.0,240.0,Orange,4.0,4.0,4329.0,1813.0,1626.0,2673.0,1325.0,6 Speed,5,Power,Tubeless Radial,5,hyderabad,108.0
Petrol,Sedan,37000,1,Skoda,2017,Comprehensive,Manual,14.3,1598.0,153.0,Grey,4.0,4.0,4413.0,1699.0,1466.0,2552.0,1137.0,5 Speed,5,Power,Tubeless Radial,4,chennai,103.0
Diesel,Sedan,65000,1,Skoda,2014,Third Party,Manual,20.5,1598.0,250.0,Golden,4.0,4.0,4386.0,1699.0,1466.0,2552.0,1205.0,5 Speed,5,Power,Tubeless Radial,4,kolkata,105.0
Petrol,Hatchback,57120,1,Maruti,2016,Comprehensive,Automatic,26.0,998.0,89.0,Silver,3.0,4.0,3695.0,1655.0,1555.0,2435.0,820.0,5 Speed,5,Electric,Tubeless Radial,5,delhi,65.0
Petrol,Sedan,102249,2,Honda,2015,Comprehensive,Manual,18.0,1198.0,109.0,Red,4.0,4.0,3990.0,1680.0,1505.0,2405.0,950.0,5 Speed,5,Power,Tubeless Radial,4,chennai,86.0
Petrol,Hatchback,64694,1,Maruti,2011,Comprehensive,Manual,18.9,998.0,90.0,Silver,3.0,4.0,3595.0,1495.0,1700.0,2400.0,885.0,5 Speed,5,Power,Tubeless Radial,4,delhi,67.0
Petrol,SUV,20000,1,Renault,2021,Third Party,Automatic,18.24,999.0,152.0,Others,3.0,4.0,3991.0,1750.0,1605.0,2500.0,1106.0,CVT,5,Electric,Tubeless Radial,5,bangalore,98.0
Petrol,Hatchback,6000,0,Renault,2021,Comprehensive,Manual,23.01,999.0,91.0,Outback Bronze,3.0,4.0,3731.0,1579.0,1474.0,2422.0,725.0,5 Speed,5,Electric,Tubeless Radial,5,kolkata,67.0
Petrol,Hatchback,43500,1,Maruti,2019,Comprehensive,Manual,22.0,1197.0,113.0,Blue,4.0,4.0,3840.0,1735.0,1530.0,2450.0,855.0,5,5,Power,Tubeless,5,delhi,81.0
Petrol,Coupe,30000,1,Mercedes-Benz,2016,Third Party,Automatic,12.65,3982.0,650.0,Others,8.0,4.0,4546.0,1939.0,1288.0,2630.0,1645.0,7 Speed,2,Power,Tubeless,2,kolkata,510.0
Petrol,Sedan,32000,1,Honda,2020,Comprehensive,Automatic,17.4,1497.0,145.0,White,4.0,4.0,4440.0,1695.0,1495.0,2600.0,1107.0,CVT,5,Power,Tubeless Radial,4,kolkata,117.0
Petrol,Sedan,60000,1,Honda,2015,Third Party,Manual,18.0,1198.0,109.0,Others,4.0,4.0,3990.0,1680.0,1505.0,2405.0,940.0,5 Speed,5,Power,Tubeless Radial,4,kolkata,86.0
Petrol,Hatchback,30000,1,Toyota,2022,Third Party,Manual,22.35,1197.0,113.0,Silver,4.0,4.0,3990.0,1745.0,1500.0,2520.0,920.0,5 Speed,5,Power,Tubeless Radial,5,delhi,88.0
Petrol,Hatchback,34757,1,Hyundai,2017,Comprehensive,Manual,18.9,1197.0,113.0,Orange,4.0,4.0,3765.0,1660.0,1520.0,2425.0,1060.0,5 Speed,5,Power,Tubeless,5,bangalore,81.0
Petrol,Hatchback,11815,1,Maruti,2017,Third Party,Manual,22.05,796.0,69.0,White,3.0,4.0,3445.0,1515.0,1475.0,2360.0,762.0,5 Speed,5,Power,Tubeless,5,delhi,47.0
Petrol,SUV,36035,1,Tata,2022,Third Party,Manual,20.09,1199.0,115.0,Silver,3.0,4.0,3827.0,1742.0,1615.0,2445.0,1178.0901432181972,5 Speed,5,Electric,Tubeless Radial,5,chennai,86.0
Petrol,Hatchback,70000,1,Honda,2010,Comprehensive,Manual,16.0,1198.0,110.0,Blue,4.0,4.0,3900.0,1695.0,1535.0,2500.0,1055.0,5 Speed,5,Power,Tubeless Radial,5,chennai,90.0
Petrol,Sedan,94970,2,Hyundai,2006,Third Party,Manual,13.2,1495.0,12.0,Blue,4.0,3.0,4250.0,1670.0,1370.0,2440.0,1039.0,5 Speed,5,Power,Tubeless Radial,4,jaipur,94.0
Diesel,SUV,30100,1,Toyota,2021,Third Party,Automatic,15.04,2755.0,450.0,Black,4.0,4.0,4795.0,1855.0,1835.0,2745.0,2280.0,6 Speed,7,Power,Tubeless Radial,5,kolkata,174.0
Petrol,Hatchback,30000,1,Maruti,2019,Third Party,Manual,21.4,1197.0,115.0,Others,4.0,4.0,3995.0,1745.0,1510.0,2520.0,890.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,83.0
Diesel,SUV,25000,1,BMW,2019,Comprehensive,Automatic,15.97,2993.0,560.0,Brown,6.0,4.0,4886.0,1938.0,1762.0,2933.0,2030.0,8 Speed,5,Power,Runflat,5,delhi,258.0
Diesel,Hatchback,49040,1,Hyundai,2016,Comprehensive,Manual,24.0,1120.0,160.0,Red,3.0,4.0,3765.0,1660.0,1520.0,2425.0,1025.0,5 Speed,5,Power,Tubeless,5,kolkata,70.0
Petrol,Hatchback,10000,2,Maruti,2015,Third Party,Automatic,23.95,998.0,90.0,Others,3.0,4.0,3545.0,1515.0,1475.0,2360.0,784.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,67.0
Petrol,Sedan,58996,2,Honda,2017,Comprehensive,Manual,19.5,1199.0,110.0,Silver,4.0,4.0,3995.0,1695.0,1501.0,2470.0,917.0,5 Speed,5,Power,Tubeless Radial,4,delhi,88.0
Petrol,Hatchback,50000,2,Hyundai,2016,Third Party,Manual,18.6,1197.0,114.0,Others,4.0,4.0,3985.0,1734.0,1505.0,2570.0,1066.0,5 Speed,5,Power,Tubeless,5,kolkata,81.0
Diesel,Hatchback,91045,1,Maruti,2014,Third Party,Manual,23.2,1248.0,190.0,Red,4.0,4.0,3775.0,1680.0,1620.0,2360.0,1125.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,73.0
Petrol,Hatchback,25091,1,Hyundai,2017,Comprehensive,Manual,18.9,1197.0,113.0,Others,4.0,4.0,3765.0,1660.0,1520.0,2425.0,1100.0,5 Speed,5,Power,Tubeless,5,delhi,81.0
Petrol,SUV,21123,1,Hyundai,2022,Third Party,Manual,18.0,998.0,171.0,White,3.0,4.0,3995.0,1770.0,1605.0,2500.0,1340.0,6-Speed IMT,5,Electric,Radial,5,chennai,118.0
Diesel,SUV,130000,1,Ford,2017,Comprehensive,Automatic,12.62,2198.0,385.0,Maroon,4.0,4.0,4892.0,1860.0,1837.0,2850.0,1879.0,6 Speed,7,Power,Tubeless Radial,5,chennai,158.0
Petrol,Minivans,90000,3,Maruti,2002,Third Party,Manual,11.3,1298.0,10.0,Others,4.0,4.0,3675.0,1475.0,1905.0,2350.0,985.0,5 Speed,8,Power,Tubeless Radial,5,chennai,83.0
Petrol,Hatchback,10000,1,Tata,2023,Third Party,Manual,19.33,1199.0,113.0,Red,3.0,4.0,3990.0,1755.0,1523.0,2501.0,1036.0,5 Speed,5,Electric,Tubeless Radial,5,bangalore,86.0
Diesel,Sedan,59000,1,Audi,2015,Third Party,Automatic,18.53,1968.0,400.0,White,4.0,4.0,4933.0,1874.0,1455.0,2912.0,1735.0,7 Speed,5,Power,Tubeless Radial,4,bangalore,187.0
Petrol,Hatchback,60000,2,Honda,2017,Comprehensive,Automatic,19.0,1199.0,110.0,Grey,4.0,4.0,3955.0,1694.0,1544.0,2530.0,1066.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,88.0
Petrol,Sedan,42000,1,Honda,2017,Comprehensive,Manual,17.4,1497.0,145.0,White,4.0,4.0,4440.0,1695.0,1495.0,2600.0,1061.0,5 Speed,5,Electric,Tubeless Radial,4,chennai,117.0
Petrol,Hatchback,150000,3,Maruti,2011,Third Party,Manual,18.5,1197.0,114.0,Others,4.0,4.0,3775.0,1680.0,1620.0,2360.0,1015.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,85.0
Petrol,Hatchback,30428,0,Maruti,2018,Third Party,Manual,21.4,1197.0,115.0,Blue,4.0,4.0,3995.0,1745.0,1510.0,2520.0,870.0,5 Speed,5,Power,Tubeless Radial,5,chennai,83.0
Electric,Sedan,67200,1,Mahindra,2018,Third Party,Automatic,19.305221281860927,0.0,91.0,White,4.0,4.0,4247.0,1740.0,1540.0,2630.0,1265.0,Automatic,5,Hydraulic,Tubeless Radial,4,hyderabad,41.0
Diesel,Sedan,120000,2,Maruti,2011,Third Party,Manual,19.3,1248.0,190.0,Others,4.0,4.0,4160.0,1690.0,1530.0,2390.0,1105.0,5 Speed,5,Power,Tubeless Radial,4,hyderabad,73.0
Petrol,Hatchback,20000,2,Hyundai,2013,Third Party,Manual,18.9,1197.0,114.0,Others,4.0,4.0,3765.0,1660.0,1520.0,2425.0,935.0,5 Speed,5,Power,Tubeless,5,kolkata,82.0
Diesel,MUV,120000,5,Mahindra,2010,Third Party,Manual,13.6,2523.0,180.0,Others,4.0,4.0,4056.0,1660.0,1880.0,2680.0,1615.0,5 Speed,7,Power,Tubeless Radial,5,jaipur,63.0
Petrol,SUV,70000,1,BMW,2019,Third Party,Automatic,13.17,1998.0,350.0,Others,4.0,4.0,4708.0,1891.0,1676.0,2864.0,1720.0,8 Speed,5,Power,Tubeless Radial,5,chennai,248.0
Diesel,SUV,53060,1,Maruti,2018,Third Party,Manual,23.65,1248.0,200.0,Grey,4.0,4.0,4300.0,1785.0,1595.0,2600.0,1215.0,5 Speed,5,Power,Tubeless Radial,5,chennai,88.0
Petrol,Sedan,76000,1,Mercedes-Benz,2015,Comprehensive,Automatic,11.7,1796.0,24.0,Silver,4.0,4.0,4596.0,1770.0,1447.0,2760.0,1505.0,6 Speed,5,Power,Tubeless Radial,4,delhi,178.0
Diesel,MUV,105000,1,Toyota,2017,Third Party,Manual,13.68,2393.0,343.0,White,4.0,4.0,4735.0,1830.0,1795.0,2750.0,1920.0,5 Speed,7,Power,Tubeless Radial,5,delhi,147.0
Petrol,Sedan,37000,1,Mercedes-Benz,2018,Comprehensive,Automatic,14.74,1991.0,300.0,White,4.0,4.0,4686.0,2020.0,1442.0,2840.0,1545.0,9 Speed,5,Power,Tubeless Radial,4,delhi,184.0
Diesel,Sedan,100425,1,Volkswagen,2016,Comprehensive,Manual,21.66,1498.0,250.0,Silver,4.0,4.0,3995.0,1682.0,1483.0,2470.0,1163.0,5 Speed,5,Power,Tubeless Radial,4,chennai,108.0
Petrol,Hatchback,22907,1,Maruti,2022,Comprehensive,Manual,22.38,1197.0,113.0,White,4.0,4.0,3845.0,1735.0,1530.0,2450.0,875.0,5 Speed,5,Electric,Tubeless Radial,5,hyderabad,88.0
Petrol,SUV,40000,2,MG,2019,Third Party,Automatic,13.96,1451.0,250.0,Others,4.0,4.0,4655.0,1835.0,1760.0,2750.0,1800.0,6 Speed,5,Power,Radial,5,delhi,141.0
Diesel,SUV,51800,1,Toyota,2018,Comprehensive,Automatic,15.04,2755.0,450.0,White,4.0,4.0,4795.0,1855.0,1835.0,2745.0,2280.0,6 Speed,7,Power,Tubeless Radial,5,delhi,174.0
Petrol,Sedan,29159,1,Maruti,2017,Zero Dep,Manual,20.73,1373.0,130.0,Red,4.0,4.0,4490.0,1730.0,1485.0,2650.0,1010.0,5 Speed,5,Power,Tubeless Radial,4,kolkata,91.0
Petrol,Sedan,97249,1,Maruti,2014,Third Party,Manual,20.73,1373.0,130.0,Grey,4.0,4.0,4490.0,1730.0,1485.0,2650.0,1010.0,5 Speed,5,Power,Tubeless Radial,4,delhi,91.0
Diesel,Hatchback,120000,2,Volkswagen,2012,Third Party,Manual,22.07,1199.0,180.0,Others,3.0,4.0,3970.0,1682.0,1453.0,2456.0,1115.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,73.0
Petrol,Hatchback,10002,1,Renault,2021,Third Party,Manual,21.46,999.0,91.0,Red,3.0,4.0,3731.0,1579.0,1474.0,2518.403850840848,699.0,5 Speed,5,Electric,Tubeless Radial,5,bangalore,67.0
Petrol,Hatchback,45578,1,Hyundai,2016,Third Party,Manual,18.6,1197.0,114.0,Red,4.0,4.0,3985.0,1734.0,1505.0,2570.0,1066.0,5 Speed,5,Power,Tubeless,5,bangalore,81.0
Diesel,SUV,20000,1,Jeep,2023,Third Party,Automatic,19.305221281860927,1998.0,350.0,Gray,4.0,4.0,4405.0,1818.0,1640.0,2636.0,1655.0,9 -speed,5,Power,Tubeless Radial,5,kolkata,167.0
Petrol,Hatchback,60000,2,Hyundai,2008,Third Party,Manual,20.36,1197.0,111.0,Others,4.0,4.0,3585.0,1595.0,1550.0,2380.0,930.0,5 Speed,5,Power,Tubeless Radial,4,jaipur,78.0
Petrol,SUV,10000,1,MG,2022,Comprehensive,Automatic,14.82,1498.0,144.0,White,4.0,4.0,4323.0,1809.0,1650.0,2585.0,1450.0,8 Speed CVT,5,Electronic,Tubeless Radial,5,delhi,108.0
Petrol,Hatchback,63313,1,Maruti,2016,Third Party,Manual,22.38,1197.0,113.0,Silver,4.0,4.0,3845.0,1735.0,1530.0,2450.0,875.0,5 Speed,5,Electric,Tubeless Radial,5,hyderabad,88.0
Diesel,SUV,90000,1,BMW,2012,Third Party,Automatic,17.05,1995.0,380.0,Others,4.0,4.0,4477.0,2058.0,1545.0,2760.0,1485.0,8 Speed,5,Power,Tubeless Radial,5,hyderabad,184.0
Diesel,SUV,50000,2,Mahindra Ssangyong,2014,Third Party,Automatic,11.18,2696.0,402.0,White,5.0,4.0,4755.0,1900.0,1840.0,2835.0,2060.0,5 Speed,7,Power,Tubeless Radial,5,bangalore,184.0
Diesel,Hatchback,84250,2,Hyundai,2017,Comprehensive,Manual,22.54,1396.0,219.0,Grey,4.0,4.0,3985.0,1734.0,1505.0,2570.0,1515.0,6 Speed,5,Power,Tubeless,5,jaipur,88.0
Petrol,SUV,7087,0,Renault,2022,Third Party,Manual,20.5,999.0,160.0,Silver,3.0,4.0,3991.0,1750.0,1605.0,2500.0,1014.0,5 Speed,5,Electric,Tubeless Radial,5,chennai,98.0
Petrol,Hatchback,19000,1,Maruti,2018,Comprehensive,Manual,21.63,998.0,90.0,Orange,3.0,4.0,3715.0,1635.0,1565.0,2425.0,835.0,5 Speed,5,Electric,Tubeless Radial,5,kolkata,67.0
Diesel,SUV,60000,1,Mahindra,2016,Third Party,Manual,16.0,2179.0,330.0,Others,4.0,4.0,4585.0,1890.0,1785.0,2700.0,1655.0,6 Speed,7,Power,Tubeless,5,delhi,140.0
Petrol,Sedan,90000,2,Jaguar,2011,Third Party,Automatic,10.5,5000.0,515.0,Black,8.0,4.0,5247.0,2110.0,1448.0,3157.0,1773.0,6 Speed,4,Power,Tubeless Radial,4,bangalore,379.0
Petrol,Hatchback,23733,1,Maruti,2021,Comprehensive,Automatic,21.7,998.0,90.0,Orange,3.0,4.0,3565.0,1520.0,1564.0,2380.0,726.0,Automatic,5,Power,Tubeless Radial,5,kolkata,67.0
Petrol,Hatchback,60000,3,Maruti,2011,Third Party,Manual,19.0,998.0,90.0,Red,3.0,4.0,3600.0,1475.0,1595.0,2360.0,845.0,5 Speed,5,Power,Tubeless Radial,5,kolkata,67.0
Petrol,Hatchback,88882,1,Maruti,2016,Comprehensive,Manual,21.4,1197.0,115.0,Blue,4.0,4.0,3995.0,1745.0,1510.0,2520.0,870.0,5 Speed,5,Power,Tubeless Radial,5,delhi,83.0
Petrol,Sedan,8000,1,Honda,2021,Comprehensive,Manual,18.6,1199.0,110.0,Silver,4.0,4.0,3995.0,1695.0,1498.0,2470.0,907.0,5 Speed,5,Electric,Tubeless Radial,4,chennai,88.0
Diesel,Hatchback,72480,1,Maruti,2013,Third Party,Manual,22.9,1248.0,190.0,White,4.0,4.0,3850.0,1695.0,1530.0,2430.0,1050.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,74.0
Petrol,Hatchback,18900,1,Maruti,2022,Third Party,Manual,24.76,998.0,89.0,Grey,3.0,4.0,3565.0,1520.0,1567.0,2380.0,736.0,5 Speed,5,Power,Tubeless Radial,5,hyderabad,65.0
Diesel,SUV,18000,1,Toyota,2022,Comprehensive,Manual,19.305221281860927,2755.0,420.0,White,4.0,4.0,4795.0,1855.0,1835.0,2745.0,2220.0,6 Speed iMT,7,Power,Tubeless Radial,5,chennai,201.0
Diesel,SUV,10000,1,Mahindra,2022,Third Party,Manual,19.305221281860927,2198.0,420.0,Others,4.0,4.0,4695.0,1890.0,1755.0,2750.0,1860.0,6 Speed,7,Power,Tubeless Radial,5,bangalore,182.0
