ft,bt,km,ownerNo,oem,modelYear,Insurance Validity,Transmission,Mileage,Engine,Torque,Color,No of Cylinder,Values per Cylinder,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,city,Max Power
Petrol,Hatchback,63206,1,Hyundai,2012,Comprehensive,Manual,20.36,1197.0,111.0,White,4.0,4.0,3585.0,1595.0,1550.0,2380.0,960.0,5 Speed,5,Power,Tubeless Radial,4,bangalore,78.0
Petrol,Sedan,20608,1,Toyota,2018,Comprehensive,Manual,17.1,1496.0,140.0,White,4.0,4.0,4425.0,1730.0,1495.0,2550.0,1090.0,6 Speed,5,Power,Tubeless Radial,4,hyderabad,105.0
Petrol,Sedan,64589,2,Hyundai,2012,Third Party,Manual,17.01,1591.0,154.0,Grey,4.0,4.0,4375.0,1700.0,1475.0,2570.0,1240.0,5 Speed,5,Power,Tubeless Radial,4,delhi,121.0
Petrol,Hatchback,44000,1,Hyundai,2016,Comprehensive,Manual,18.9,1197.0,114.0,Orange,4.0,4.0,3765.0,1660.0,1520.0,2425.0,935.0,5 Speed,5,Power,Tubeless,5,bangalore,82.0
Petrol,SUV,64336,1,Jeep,2019,Zero Dep,Automatic,16.0,1368.0,250.0,White,4.0,4.0,4395.0,1818.0,1640.0,2636.0,1562.0,7 Speed,5,Power,Tubeless Radial,5,delhi,160.0
Petrol,Sedan,49000,1,Honda,2016,Comprehensive,Manual,17.8,1198.0,109.0,Brown,4.0,4.0,3990.0,1680.0,1505.0,2405.0,965.0,5 Speed,5,Power,Tubeless Radial,4,kolkata,86.0
Petrol,SUV,20000,1,Maruti,2022,Third Party,Manual,18.55,1462.0,138.0,Blue,4.0,4.0,4300.0,1785.0,1595.0,2600.0,1130.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,103.0
Petrol,SUV,33091,2,Mahindra,2018,Zero Dep,Manual,18.15,1198.0,115.0,Red,3.0,4.0,3675.0,1715.0,1655.0,2385.0,1195.0,5 Speed,6,Power,Tubeless Radial,5,delhi,82.0
Petrol,Hatchback,4495,1,Datsun,2020,Comprehensive,Automatic,22.5,999.0,91.0,Black,3.0,4.0,3429.0,1560.0,1541.0,2348.0,770.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,67.0
Petrol,SUV,100000,1,Tata,2017,Third Party,Manual,17.0,1198.0,170.0,Gray,3.0,4.0,3994.0,1811.0,1607.0,2498.0,1252.0,6 Speed,5,Power,Tubeless Radial,5,hyderabad,108.0
Petrol,SUV,46000,1,Nissan,2017,Third Party,Manual,13.24,1598.0,145.0,b grey,4.0,4.0,4331.0,2000.0,1671.0,2673.0,1320.0,5 Speed,5,Power,Tubeless,5,hyderabad,102.0
Petrol,Hatchback,60000,4,Maruti,2001,Third Party,Manual,17.3,993.0,78.0,Others,4.0,4.0,3535.0,1495.0,1405.0,2335.0,765.0,5 Speed,5,Power,Radial,5,jaipur,60.0
Diesel,Sedan,42000,2,Mercedes-Benz,2018,Comprehensive,Automatic,17.9,2143.0,300.0,White,4.0,4.0,4630.0,1777.0,1432.0,2699.0,1570.0,7 Speed,5,Power,Tubeless Radial,4,delhi,136.0
Petrol,Hatchback,18835,1,Maruti,2021,Zero Dep,Manual,22.05,796.0,69.0,Silver,3.0,4.0,3445.0,1515.0,1475.0,2360.0,762.0,5 Speed,5,Power,Tubeless,5,bangalore,47.0
Petrol,Hatchback,44903,1,Maruti,2019,Third Party,Manual,21.7,998.0,89.0,Orange,3.0,4.0,3565.0,1520.0,1567.0,2380.0,736.0,5 Speed,5,Power,Tubeless Radial,5,hyderabad,65.0
Electric,SUV,26000,1,Tata,2021,Comprehensive,Automatic,19.305221281860927,0.0,245.0,Green,4.0,4.0,3993.0,1811.0,1606.0,2498.0,1400.0,5 Speed,5,Electric,Tubeless Radial,5,kolkata,127.0
Diesel,MUV,71914,1,Toyota,2018,Comprehensive,Manual,19.305221281860927,2393.0,343.0,Silver,4.0,4.0,4735.0,1830.0,1795.0,2750.0,1880.0,5 Speed,7,Electric,Tubeless Radial,5,delhi,147.0
Petrol,SUV,87576,1,Jeep,2019,Comprehensive,Automatic,14.1,1368.0,250.0,Silver,4.0,4.0,4395.0,1818.0,1640.0,2636.0,1562.0,7 Speed,5,Power,Tubeless Radial,5,delhi,160.0
Diesel,SUV,50000,1,Maruti,2018,Comprehensive,Manual,24.3,1248.0,200.0,Grey,4.0,4.0,3995.0,1790.0,1640.0,2500.0,1185.0,5 Speed,5,Power,Tubeless Radial,5,delhi,88.0
Petrol,SUV,20000,1,Mahindra,2016,Third Party,Manual,18.15,1198.0,115.0,Red,3.0,4.0,3675.0,1715.0,1635.0,2385.0,1155.0,5 Speed,6,Power,Tubeless Radial,5,kolkata,82.0
Diesel,MUV,90000,2,Tata,2017,Third Party,Automatic,17.6,2179.0,400.0,Others,4.0,4.0,4788.0,1900.0,1785.0,2850.0,1950.0,6 Speed,7,Power,Tubeless Radial,5,hyderabad,153.0
Diesel,SUV,124143,1,Mahindra,2015,Third Party,Manual,15.1,2179.0,330.0,Black,4.0,4.0,4585.0,1890.0,1785.0,2700.0,1940.0,6 Speed,7,Power,Tubeless Radial,5,jaipur,140.0
Petrol,MUV,80000,2,Maruti,2021,Third Party,Manual,19.01,1462.0,138.0,Others,4.0,4.0,4445.0,1775.0,1700.0,2740.0,1180.0,5 Speed,6,Power,Tubeless Radial,5,hyderabad,103.0
